,Club,league,Expenditure,Arrivals,Income,Departures,Balance,season,league_id
0,Hamburger SV,Bundesliga,34450000.0,15,45200000.0,14,10750000.0,2008/2009,7809
1,VfL Wolfsburg,Bundesliga,33100000.0,19,4530000.0,22,-28570000.0,2008/2009,7809
2,FC Schalke 04,Bundesliga,15750000.0,8,9000000.0,11,-6750000.0,2008/2009,7809
3,Borussia Dortmund,Bundesliga,13750000.0,13,12300000.0,17,-1450000.0,2008/2009,7809
4,TSG 1899 Hoffenheim,Bundesliga,11950000.0,10,125000.0,16,-11830000.0,2008/2009,7809
5,Borussia Mönchengladbach,Bundesliga,11550000.0,13,670000.0,11,-10880000.0,2008/2009,7809
6,Bayer 04 Leverkusen,Bundesliga,10250000.0,16,4000000.0,12,-6250000.0,2008/2009,7809
7,VfB Stuttgart,Bundesliga,9600000.0,14,13100000.0,14,3500000.0,2008/2009,7809
8,1.FC Köln,Bundesliga,7150000.0,13,750000.0,13,-6400000.0,2008/2009,7809
9,Eintracht Frankfurt,Bundesliga,6650000.0,8,1020000.0,6,-5630000.0,2008/2009,7809
10,Hannover 96,Bundesliga,6400000.0,12,3140000.0,9,-3270000.0,2008/2009,7809
11,Hertha BSC,Bundesliga,6400000.0,17,2900000.0,12,-3500000.0,2008/2009,7809
12,SV Werder Bremen,Bundesliga,5800000.0,10,3400000.0,9,-2400000.0,2008/2009,7809
13,VfL Bochum,Bundesliga,4750000.0,10,8000.0,12,-4740000.0,2008/2009,7809
14,Arminia Bielefeld,Bundesliga,3200000.0,14,1830000.0,17,-1380000.0,2008/2009,7809
15,FC Energie Cottbus,Bundesliga,2600000.0,16,720000.0,15,-1880000.0,2008/2009,7809
16,Karlsruher SC,Bundesliga,1900000.0,7,2900000.0,4,1000000.0,2008/2009,7809
17,Bayern Munich,Bundesliga,0.0,7,10900000.0,11,10900000.0,2008/2009,7809
18,Bayern Munich,Bundesliga,75700000.0,13,22950000.0,12,-52750000.0,2009/2010,7809
19,Hamburger SV,Bundesliga,30450000.0,18,8500000.0,18,-21950000.0,2009/2010,7809
20,VfL Wolfsburg,Bundesliga,27300000.0,14,3400000.0,15,-23900000.0,2009/2010,7809
21,VfB Stuttgart,Bundesliga,18100000.0,11,30950000.0,9,12850000.0,2009/2010,7809
22,TSG 1899 Hoffenheim,Bundesliga,16250000.0,12,225000.0,8,-16030000.000000002,2009/2010,7809
23,SV Werder Bremen,Bundesliga,13000000.0,17,32380000.000000004,15,19380000.0,2009/2010,7809
24,1.FC Köln,Bundesliga,11500000.0,11,900000.0,9,-10600000.0,2009/2010,7809
25,Borussia Dortmund,Bundesliga,10900000.0,14,6350000.0,8,-4550000.0,2009/2010,7809
26,Borussia Mönchengladbach,Bundesliga,10500000.0,11,8400000.0,11,-2100000.0,2009/2010,7809
27,FC Schalke 04,Bundesliga,8500000.0,23,4800000.0,10,-3700000.0,2009/2010,7809
28,Bayer 04 Leverkusen,Bundesliga,6550000.0,14,1600000.0,16,-4950000.0,2009/2010,7809
29,Hertha BSC,Bundesliga,4510000.0,14,8550000.0,17,4040000.0,2009/2010,7809
30,1.FSV Mainz 05,Bundesliga,3600000.0,13,200000.0,12,-3400000.0,2009/2010,7809
31,SC Freiburg,Bundesliga,3150000.0,12,445000.0,10,-2710000.0,2009/2010,7809
32,VfL Bochum,Bundesliga,2100000.0,10,250000.0,11,-1850000.0,2009/2010,7809
33,Hannover 96,Bundesliga,2049999.9999999998,12,800000.0,7,-1250000.0,2009/2010,7809
34,Eintracht Frankfurt,Bundesliga,1250000.0,13,600000.0,10,-650000.0,2009/2010,7809
35,1.FC Nuremberg,Bundesliga,450000.0,12,2350000.0,12,1900000.0,2009/2010,7809
36,Bayern Munich,Bundesliga,90750000.0,10,33000000.0,10,-57750000.0,2015/2016,7809
37,VfL Wolfsburg,Bundesliga,68100000.0,13,111300000.0,12,43200000.0,2015/2016,7809
38,Bayer 04 Leverkusen,Bundesliga,60000000.0,23,63250000.0,18,3250000.0,2015/2016,7809
39,Borussia Mönchengladbach,Bundesliga,38000000.0,11,15700000.0,10,-22300000.0,2015/2016,7809
40,FC Schalke 04,Bundesliga,37100000.0,16,57200000.0,17,20100000.0,2015/2016,7809
41,TSG 1899 Hoffenheim,Bundesliga,23400000.0,30,57150000.0,29,33750000.0,2015/2016,7809
42,Hamburger SV,Bundesliga,21850000.0,19,15200000.0,19,-6650000.0,2015/2016,7809
43,Borussia Dortmund,Bundesliga,20000000.0,12,42550000.0,16,22550000.0,2015/2016,7809
44,Hannover 96,Bundesliga,18400000.0,21,13500000.0,18,-4900000.0,2015/2016,7809
45,FC Augsburg,Bundesliga,16700000.0,14,26900000.0,10,10200000.0,2015/2016,7809
46,VfB Stuttgart,Bundesliga,15670000.0,19,20550000.0,19,4880000.0,2015/2016,7809
47,1.FC Köln,Bundesliga,14780000.0,12,13050000.0,15,-1730000.0,2015/2016,7809
48,1.FSV Mainz 05,Bundesliga,13850000.0,23,34200000.0,23,20350000.0,2015/2016,7809
49,SV Werder Bremen,Bundesliga,12880000.0,23,19450000.0,16,6570000.0,2015/2016,7809
50,Eintracht Frankfurt,Bundesliga,11820000.0,15,12100000.0,13,280000.0,2015/2016,7809
51,Hertha BSC,Bundesliga,7300000.0,13,4920000.0,11,-2380000.0,2015/2016,7809
52,FC Ingolstadt 04,Bundesliga,6200000.0,6,0.0,9,-6200000.0,2015/2016,7809
53,SV Darmstadt 98,Bundesliga,1100000.0,16,0.0,11,-1100000.0,2015/2016,7809
54,Borussia Dortmund,Bundesliga,65200000.0,9,4800000.0,8,-60400000.0,2014/2015,7809
55,Bayern Munich,Bundesliga,53400000.0,9,48700000.0,10,-4700000.0,2014/2015,7809
56,VfL Wolfsburg,Bundesliga,45050000.0,15,6250000.0,13,-38800000.0,2014/2015,7809
57,Bayer 04 Leverkusen,Bundesliga,39310000.0,20,18350000.0,25,-20960000.0,2014/2015,7809
58,Hamburger SV,Bundesliga,35800000.0,20,23900000.0,19,-11900000.0,2014/2015,7809
59,TSG 1899 Hoffenheim,Bundesliga,19200000.0,20,14420000.0,26,-4780000.0,2014/2015,7809
60,Hertha BSC,Bundesliga,14500000.0,14,19450000.0,12,4950000.0,2014/2015,7809
61,SC Freiburg,Bundesliga,14350000.0,15,18600000.0,17,4250000.0,2014/2015,7809
62,Borussia Mönchengladbach,Bundesliga,12750000.0,10,17900000.0,9,5150000.0,2014/2015,7809
63,FC Augsburg,Bundesliga,12450000.0,15,6900000.0,14,-5550000.0,2014/2015,7809
64,Hannover 96,Bundesliga,10800000.0,20,3500000.0,18,-7300000.0,2014/2015,7809
65,VfB Stuttgart,Bundesliga,10800000.0,13,750000.0,10,-10050000.0,2014/2015,7809
66,1.FSV Mainz 05,Bundesliga,9120000.0,19,6600000.0,17,-2520000.0,2014/2015,7809
67,1.FC Köln,Bundesliga,8400000.0,12,100000.0,15,-8300000.000000001,2014/2015,7809
68,SV Werder Bremen,Bundesliga,6550000.0,16,3350000.0,19,-3200000.0,2014/2015,7809
69,Eintracht Frankfurt,Bundesliga,6500000.0,16,5930000.0,19,-575000.0,2014/2015,7809
70,FC Schalke 04,Bundesliga,4400000.0,14,8600000.0,11,4200000.0,2014/2015,7809
71,SC Paderborn 07,Bundesliga,1950000.0,13,0.0,12,-1950000.0,2014/2015,7809
90,Bayern Munich,Bundesliga,62000000.0,8,40000000.0,7,-22000000.0,2013/2014,7809
91,Borussia Dortmund,Bundesliga,52600000.0,13,47380000.0,11,-5230000.0,2013/2014,7809
92,VfL Wolfsburg,Bundesliga,50600000.0,28,16050000.0,30,-34550000.0,2013/2014,7809
93,FC Schalke 04,Bundesliga,26050000.0,13,8100000.0,14,-17950000.0,2013/2014,7809
94,Bayer 04 Leverkusen,Bundesliga,24980000.0,18,35570000.0,16,10600000.0,2013/2014,7809
95,1.FSV Mainz 05,Bundesliga,14200000.0,14,11550000.0,14,-2650000.0,2013/2014,7809
96,Hannover 96,Bundesliga,10500000.0,16,4700000.0,18,-5800000.0,2013/2014,7809
97,SV Werder Bremen,Bundesliga,10250000.0,10,13600000.0,12,3350000.0,2013/2014,7809
98,TSG 1899 Hoffenheim,Bundesliga,9900000.0,23,4000000.0,25,-5900000.0,2013/2014,7809
99,Borussia Mönchengladbach,Bundesliga,7900000.0,9,3250000.0,9,-4650000.0,2013/2014,7809
100,Eintracht Frankfurt,Bundesliga,7480000.0,14,500000.0,11,-6980000.0,2013/2014,7809
101,1.FC Nuremberg,Bundesliga,7320000.0,18,6750000.0,17,-570000.0,2013/2014,7809
102,VfB Stuttgart,Bundesliga,7200000.0,14,7200000.0,19,0.0,2013/2014,7809
103,SC Freiburg,Bundesliga,6930000.0,16,12200000.0,14,5270000.0,2013/2014,7809
104,FC Augsburg,Bundesliga,4550000.0,15,600000.0,14,-3950000.0,2013/2014,7809
105,Hamburger SV,Bundesliga,2350000.0,12,13750000.0,10,11400000.0,2013/2014,7809
106,Eintracht Braunschweig,Bundesliga,1800000.0,10,0.0,10,-1800000.0,2013/2014,7809
107,Hertha BSC,Bundesliga,1300000.0,10,350000.0,12,-950000.0,2013/2014,7809
108,Bayern Munich,Bundesliga,70300000.0,10,500000.0,7,-69800000.0,2012/2013,7809
109,Borussia Mönchengladbach,Bundesliga,33400000.0,13,24050000.0,12,-9350000.0,2012/2013,7809
110,VfL Wolfsburg,Bundesliga,27100000.0,21,21850000.0,28,-5250000.0,2012/2013,7809
111,Hamburger SV,Bundesliga,27000000.0,12,9600000.0,17,-17400000.0,2012/2013,7809
112,Borussia Dortmund,Bundesliga,26650000.0,12,34000000.0,12,7350000.0,2012/2013,7809
113,TSG 1899 Hoffenheim,Bundesliga,26300000.0,28,20250000.0,21,-6050000.0,2012/2013,7809
114,Bayer 04 Leverkusen,Bundesliga,20900000.0,19,14680000.0,18,-6220000.0,2012/2013,7809
115,SV Werder Bremen,Bundesliga,14730000.0,13,13100000.0,15,-1630000.0,2012/2013,7809
116,Hannover 96,Bundesliga,9550000.0,12,3170000.0,11,-6380000.0,2012/2013,7809
117,Eintracht Frankfurt,Bundesliga,8150000.0,21,3000000.0,19,-5150000.0,2012/2013,7809
118,FC Schalke 04,Bundesliga,6500000.0,18,6850000.0,21,350000.0,2012/2013,7809
119,1.FSV Mainz 05,Bundesliga,4179999.9999999995,10,5950000.0,13,1770000.0,2012/2013,7809
120,SpVgg Greuther Fürth,Bundesliga,3850000.0,22,2340000.0,17,-1510000.0,2012/2013,7809
121,Fortuna Düsseldorf,Bundesliga,3050000.0,24,0.0,20,-3050000.0,2012/2013,7809
122,FC Augsburg,Bundesliga,2850000.0,16,150000.0,17,-2700000.0,2012/2013,7809
123,1.FC Nuremberg,Bundesliga,2700000.0,13,7000000.0,15,4300000.0,2012/2013,7809
124,VfB Stuttgart,Bundesliga,2400000.0,12,9700000.0,7,7300000.0,2012/2013,7809
125,SC Freiburg,Bundesliga,1500000.0,9,200000.0,10,-1300000.0,2012/2013,7809
126,VfL Wolfsburg,Bundesliga,56150000.0,18,59650000.0,16,3500000.0,2010/2011,7809
127,FC Schalke 04,Bundesliga,36100000.0,22,20050000.0,26,-16050000.0,2010/2011,7809
128,TSG 1899 Hoffenheim,Bundesliga,22450000.0,15,45400000.0,16,22950000.0,2010/2011,7809
129,Bayern Munich,Bundesliga,17000000.0,8,6000000.0,10,-11000000.0,2010/2011,7809
130,SV Werder Bremen,Bundesliga,16239999.999999998,15,21500000.0,12,5260000.0,2010/2011,7809
131,Hamburger SV,Bundesliga,15200000.0,11,15550000.0,12,350000.0,2010/2011,7809
132,VfB Stuttgart,Bundesliga,13100000.0,13,20500000.0,15,7400000.0,2010/2011,7809
133,Borussia Mönchengladbach,Bundesliga,7000000.0,11,2000000.0,11,-5000000.0,2010/2011,7809
134,Borussia Dortmund,Bundesliga,6200000.0,12,4300000.0,12,-1900000.0,2010/2011,7809
135,Bayer 04 Leverkusen,Bundesliga,5700000.0,14,6550000.0,15,850000.0,2010/2011,7809
136,1.FC Kaiserslautern,Bundesliga,4600000.0,19,100000.0,20,-4500000.0,2010/2011,7809
137,1.FC Köln,Bundesliga,4600000.0,18,50000.0,13,-4550000.0,2010/2011,7809
138,1.FSV Mainz 05,Bundesliga,3800000.0,17,5120000.0,20,1320000.0,2010/2011,7809
139,Eintracht Frankfurt,Bundesliga,2450000.0,10,1150000.0,15,-1300000.0,2010/2011,7809
140,SC Freiburg,Bundesliga,1450000.0,13,210000.0,13,-1240000.0,2010/2011,7809
141,1.FC Nuremberg,Bundesliga,1150000.0,20,2750000.0,18,1600000.0,2010/2011,7809
142,Hannover 96,Bundesliga,1000000.0,11,550000.0,16,-450000.0,2010/2011,7809
143,FC St. Pauli,Bundesliga,200000.0,5,0.0,7,-200000.0,2010/2011,7809
144,Bayern Munich,Bundesliga,52100000.0,8,5000000.0,5,-47100000.0,2011/2012,7809
145,VfL Wolfsburg,Bundesliga,48800000.0,27,12130000.0,19,-36680000.0,2011/2012,7809
146,Bayer 04 Leverkusen,Bundesliga,26110000.0,16,16059999.999999998,15,-10050000.0,2011/2012,7809
147,Hamburger SV,Bundesliga,13900000.0,20,17350000.0,18,3450000.0,2011/2012,7809
148,VfB Stuttgart,Bundesliga,11100000.0,10,18400000.0,12,7300000.0,2011/2012,7809
149,1.FSV Mainz 05,Bundesliga,10900000.0,21,17950000.0,16,7050000.0,2011/2012,7809
150,Borussia Dortmund,Bundesliga,9730000.0,8,12140000.0,11,2420000.0,2011/2012,7809
151,SV Werder Bremen,Bundesliga,8800000.0,17,20250000.0,19,11450000.0,2011/2012,7809
152,FC Schalke 04,Bundesliga,7600000.0,13,34080000.0,16,26480000.0,2011/2012,7809
153,1.FC Kaiserslautern,Bundesliga,6630000.0,14,4450000.0,16,-2180000.0,2011/2012,7809
154,TSG 1899 Hoffenheim,Bundesliga,5900000.0,16,7500000.0,14,1600000.0,2011/2012,7809
155,1.FC Köln,Bundesliga,5880000.0,16,2880000.0,20,-3000000.0,2011/2012,7809
156,Hannover 96,Bundesliga,4200000.0,9,0.0,7,-4200000.0,2011/2012,7809
157,1.FC Nuremberg,Bundesliga,4150000.0000000005,16,5500000.0,16,1350000.0,2011/2012,7809
158,SC Freiburg,Bundesliga,3500000.0,16,15300000.0,16,11800000.0,2011/2012,7809
159,Borussia Mönchengladbach,Bundesliga,2650000.0,17,3830000.0,21,1180000.0,2011/2012,7809
160,Hertha BSC,Bundesliga,1400000.0,13,1000000.0,10,-400000.0,2011/2012,7809
161,FC Augsburg,Bundesliga,1180000.0,13,260000.0,12,-915000.0,2011/2012,7809
162,FC Barcelona,LaLiga,96000000.0,9,54590000.0,11,-41410000.0,2008/2009,21518
163,Real Madrid,LaLiga,82200000.0,12,71000000.0,11,-11200000.0,2008/2009,21518
164,Sevilla FC,LaLiga,37700000.0,14,60550000.0,15,22850000.0,2008/2009,21518
165,Real Betis Balompié,LaLiga,34200000.0,14,11500000.0,13,-22700000.0,2008/2009,21518
166,Atlético de Madrid,LaLiga,26500000.0,13,3450000.0,15,-23050000.0,2008/2009,21518
167,Villarreal CF,LaLiga,26170000.0,16,24500000.0,17,-1670000.0,2008/2009,21518
168,Getafe CF,LaLiga,17500000.0,13,8000000.0,13,-9500000.0,2008/2009,21518
169,UD Almería,LaLiga,14500000.0,12,8000000.0,10,-6500000.0,2008/2009,21518
170,RCD Espanyol Barcelona,LaLiga,14300000.0,12,18600000.0,13,4300000.0,2008/2009,21518
171,RCD Mallorca,LaLiga,10230000.0,18,32400000.0,19,22170000.0,2008/2009,21518
172,Deportivo de La Coruña,LaLiga,9200000.0,17,20180000.0,19,10980000.0,2008/2009,21518
173,Valencia CF,LaLiga,6600000.0,22,11300000.0,21,4700000.0,2008/2009,21518
174,CA Osasuna,LaLiga,5050000.0,14,4750000.0,14,-300000.0,2008/2009,21518
175,Recreativo Huelva,LaLiga,4990000.0,15,14300000.0,15,9310000.0,2008/2009,21518
176,Racing Santander,LaLiga,3800000.0,16,17500000.0,19,13700000.0,2008/2009,21518
177,Real Valladolid CF,LaLiga,1250000.0,13,5500000.0,13,4250000.0,2008/2009,21518
178,Málaga CF,LaLiga,1100000.0,15,0.0,16,-1100000.0,2008/2009,21518
179,Athletic Bilbao,LaLiga,325000.0,10,6000000.0,12,5680000.0,2008/2009,21518
180,CD Numancia,LaLiga,300000.0,13,2000000.0,12,1700000.0,2008/2009,21518
181,Sporting Gijón,LaLiga,100000.0,8,0.0,10,-100000.0,2008/2009,21518
182,Real Madrid,LaLiga,258500000.0,10,88500000.0,14,-170000000.0,2009/2010,21518
183,FC Barcelona,LaLiga,113500000.0,8,24500000.0,10,-89000000.0,2009/2010,21518
184,Sevilla FC,LaLiga,27500000.0,11,12800000.0,11,-14700000.0,2009/2010,21518
185,Villarreal CF,LaLiga,22900000.0,11,11750000.0,15,-11150000.0,2009/2010,21518
186,Atlético de Madrid,LaLiga,17250000.0,15,17900000.0,15,650000.0,2009/2010,21518
187,Real Zaragoza,LaLiga,14900000.0,20,10920000.0,17,-3990000.0,2009/2010,21518
188,Getafe CF,LaLiga,12250000.0,11,11400000.0,13,-850000.0,2009/2010,21518
189,Real Valladolid CF,LaLiga,6680000.0,21,9500000.0,18,2830000.0,2009/2010,21518
190,Racing Santander,LaLiga,6500000.0,20,8500000.0,19,2000000.0,2009/2010,21518
191,RCD Espanyol Barcelona,LaLiga,5800000.0,19,8150000.0,16,2350000.0,2009/2010,21518
192,UD Almería,LaLiga,5200000.0,10,7500000.0,9,2300000.0,2009/2010,21518
193,Valencia CF,LaLiga,5000000.0,16,20630000.0,18,15630000.0,2009/2010,21518
194,CA Osasuna,LaLiga,2460000.0,12,4000000.0,15,1540000.0,2009/2010,21518
195,Athletic Bilbao,LaLiga,2350000.0,9,0.0,9,-2350000.0,2009/2010,21518
196,Deportivo de La Coruña,LaLiga,2100000.0,12,2700000.0,14,600000.0,2009/2010,21518
197,Málaga CF,LaLiga,1600000.0,22,1150000.0,19,-450000.0,2009/2010,21518
198,Sporting Gijón,LaLiga,1400000.0,10,3300000.0,10,1900000.0,2009/2010,21518
199,CD Tenerife,LaLiga,600000.0,7,0.0,7,-600000.0,2009/2010,21518
200,Xerez CD,LaLiga,500000.0,12,0.0,15,-500000.0,2009/2010,21518
201,RCD Mallorca,LaLiga,400000.0,15,9950000.0,14,9550000.0,2009/2010,21518
202,Valencia CF,LaLiga,143900000.0,20,50000000.0,16,-93900000.0,2015/2016,21518
203,Atlético de Madrid,LaLiga,119000000.0,22,152000000.0,23,33000000.0,2015/2016,21518
204,Real Madrid,LaLiga,100400000.0,12,24150000.0,12,-76250000.0,2015/2016,21518
205,FC Barcelona,LaLiga,51000000.0,11,38300000.0,10,-12700000.0,2015/2016,21518
206,Villarreal CF,LaLiga,47200000.0,19,37560000.0,18,-9640000.0,2015/2016,21518
207,Sevilla FC,LaLiga,44000000.0,23,61450000.0,21,17450000.0,2015/2016,21518
208,Real Sociedad,LaLiga,26100000.0,17,1000000.0,15,-25100000.0,2015/2016,21518
209,Celta de Vigo,LaLiga,16300000.0,10,18500000.0,12,2200000.0,2015/2016,21518
210,Athletic Bilbao,LaLiga,10000000.0,13,0.0,16,-10000000.0,2015/2016,21518
211,Real Betis Balompié,LaLiga,8850000.0,22,1050000.0,18,-7800000.0,2015/2016,21518
212,Málaga CF,LaLiga,8650000.0,20,46800000.0,20,38150000.0,2015/2016,21518
213,Deportivo de La Coruña,LaLiga,8000000.0,18,0.0,20,-8000000.0,2015/2016,21518
214,Levante UD,LaLiga,6550000.0,16,0.0,15,-6550000.0,2015/2016,21518
215,UD Las Palmas,LaLiga,6400000.0,17,0.0,17,-6400000.0,2015/2016,21518
216,RCD Espanyol Barcelona,LaLiga,4450000.0,24,15200000.0,19,10750000.0,2015/2016,21518
217,Granada CF,LaLiga,3850000.0,39,11170000.0,41,7320000.0,2015/2016,21518
218,SD Eibar,LaLiga,3700000.0,27,0.0,27,-3700000.0,2015/2016,21518
219,Rayo Vallecano,LaLiga,400000.0,18,0.0,17,-400000.0,2015/2016,21518
220,Getafe CF,LaLiga,270000.0,14,4099999.9999999995,12,3830000.0,2015/2016,21518
221,Sporting Gijón,LaLiga,0.0,9,0.0,7,0.0,2015/2016,21518
222,FC Barcelona,LaLiga,166720000.0,13,81800000.0,15,-84920000.0,2014/2015,21518
223,Real Madrid,LaLiga,126000000.0,8,112100000.0,8,-13900000.0,2014/2015,21518
224,Atlético de Madrid,LaLiga,120350000.0,25,89300000.0,25,-31050000.0,2014/2015,21518
225,Valencia CF,LaLiga,55050000.0,23,55450000.0,25,400000.0,2014/2015,21518
226,Sevilla FC,LaLiga,20950000.0,25,50550000.0,22,29600000.0,2014/2015,21518
227,Villarreal CF,LaLiga,18700000.0,14,22500000.0,15,3800000.0,2014/2015,21518
228,Real Sociedad,LaLiga,12000000.0,14,45200000.0,14,33200000.000000004,2014/2015,21518
229,Granada CF,LaLiga,7920000.0,44,21000000.0,36,13080000.0,2014/2015,21518
230,Celta de Vigo,LaLiga,3900000.0,12,1500000.0,11,-2400000.0,2014/2015,21518
231,RCD Espanyol Barcelona,LaLiga,2500000.0,15,11000000.0,17,8500000.0,2014/2015,21518
232,Málaga CF,LaLiga,1500000.0,14,18990000.0,13,17490000.0,2014/2015,21518
233,Deportivo de La Coruña,LaLiga,1400000.0,18,0.0,14,-1400000.0,2014/2015,21518
234,Elche CF,LaLiga,1350000.0,15,6000000.0,18,4660000.0,2014/2015,21518
235,Athletic Bilbao,LaLiga,1000000.0,11,36000000.0,11,35000000.0,2014/2015,21518
236,Levante UD,LaLiga,800000.0,14,10000000.0,14,9200000.0,2014/2015,21518
237,Córdoba CF,LaLiga,750000.0,25,0.0,22,-750000.0,2014/2015,21518
238,Rayo Vallecano,LaLiga,500000.0,22,650000.0,24,150000.0,2014/2015,21518
239,SD Eibar,LaLiga,162000.0,21,600000.0,20,438000.0,2014/2015,21518
240,UD Almería,LaLiga,0.0,16,3000000.0,17,3000000.0,2014/2015,21518
241,Getafe CF,LaLiga,0.0,10,8000000.0,12,8000000.0,2014/2015,21518
262,Real Madrid,LaLiga,175500000.0,10,113500000.0,10,-62000000.0,2013/2014,21518
263,FC Barcelona,LaLiga,101000000.0,9,28100000.0,7,-72900000.0,2013/2014,21518
264,Atlético de Madrid,LaLiga,36100000.0,21,70700000.0,18,34610000.0,2013/2014,21518
265,Sevilla FC,LaLiga,35300000.0,27,90980000.0,28,55680000.0,2013/2014,21518
266,Valencia CF,LaLiga,22470000.0,15,47100000.0,14,24630000.0,2013/2014,21518
267,Villarreal CF,LaLiga,17450000.0,14,10500000.0,17,-6950000.0,2013/2014,21518
268,Athletic Bilbao,LaLiga,15400000.0,12,0.0,11,-15400000.0,2013/2014,21518
269,Getafe CF,LaLiga,10000000.0,15,14500000.0,17,4500000.0,2013/2014,21518
270,Real Betis Balompié,LaLiga,7450000.0,23,10030000.0,20,2580000.0,2013/2014,21518
271,Real Sociedad,LaLiga,6500000.0,6,32000000.0,6,25500000.0,2013/2014,21518
272,Celta de Vigo,LaLiga,6400000.0,16,10800000.0,18,4400000.0,2013/2014,21518
273,Granada CF,LaLiga,5980000.0,34,6700000.0,38,721000.0,2013/2014,21518
274,Málaga CF,LaLiga,5230000.0,21,37650000.0,20,32420000.0,2013/2014,21518
275,CA Osasuna,LaLiga,3100000.0,12,4000000.0,15,900000.0,2013/2014,21518
276,Elche CF,LaLiga,2230000.0,16,0.0,17,-2230000.0,2013/2014,21518
277,Real Valladolid CF,LaLiga,1050000.0,10,1800000.0,9,750000.0,2013/2014,21518
278,RCD Espanyol Barcelona,LaLiga,750000.0,15,12900000.0,14,12150000.0,2013/2014,21518
279,Levante UD,LaLiga,300000.0,16,4620000.0,15,4320000.0,2013/2014,21518
280,Rayo Vallecano,LaLiga,0.0,21,7000000.0,16,7000000.0,2013/2014,21518
281,UD Almería,LaLiga,0.0,16,1000000.0,14,1000000.0,2013/2014,21518
282,Real Madrid,LaLiga,38500000.0,8,33500000.0,8,-5000000.0,2012/2013,21518
283,FC Barcelona,LaLiga,33000000.0,7,500000.0,5,-32500000.0,2012/2013,21518
284,Valencia CF,LaLiga,23200000.0,10,30000000.0,14,6800000.0,2012/2013,21518
285,Sevilla FC,LaLiga,14000000.0,15,12200000.0,15,-1800000.0,2012/2013,21518
286,Real Sociedad,LaLiga,14000000.0,8,500000.0,8,-13500000.0,2012/2013,21518
287,Granada CF,LaLiga,13070000.0,42,7250000.0,43,-5820000.0,2012/2013,21518
288,Getafe CF,LaLiga,5700000.0,15,5000000.0,15,-700000.0,2012/2013,21518
289,Celta de Vigo,LaLiga,5150000.0,13,0.0,10,-5150000.0,2012/2013,21518
290,Atlético de Madrid,LaLiga,4500000.0,14,21350000.0,16,16850000.0,2012/2013,21518
291,RCD Mallorca,LaLiga,3800000.0,16,6000000.0,13,2200000.0,2012/2013,21518
292,RCD Espanyol Barcelona,LaLiga,3350000.0,14,5700000.0,17,2350000.0,2012/2013,21518
293,Real Betis Balompié,LaLiga,2650000.0,15,0.0,15,-2650000.0,2012/2013,21518
294,Athletic Bilbao,LaLiga,2500000.0,10,40000000.0,11,37500000.0,2012/2013,21518
295,Real Zaragoza,LaLiga,1800000.0,24,1670000.0,19,-126000.0,2012/2013,21518
296,Deportivo de La Coruña,LaLiga,750000.0,14,0.0,12,-750000.0,2012/2013,21518
297,Levante UD,LaLiga,650000.0,21,7940000.0,20,7290000.0,2012/2013,21518
298,CA Osasuna,LaLiga,600000.0,18,5700000.0,16,5100000.0,2012/2013,21518
299,Real Valladolid CF,LaLiga,0.0,9,0.0,14,0.0,2012/2013,21518
300,Rayo Vallecano,LaLiga,0.0,20,2570000.0,20,2570000.0,2012/2013,21518
301,Málaga CF,LaLiga,0.0,14,41600000.0,18,41600000.0,2012/2013,21518
302,Real Madrid,LaLiga,93000000.0,7,10500000.0,6,-82500000.0,2010/2011,21518
303,FC Barcelona,LaLiga,72500000.0,9,52700000.0,9,-19800000.0,2010/2011,21518
304,Atlético de Madrid,LaLiga,34050000.0,10,23900000.0,12,-10150000.0,2010/2011,21518
305,Valencia CF,LaLiga,27850000.0,16,84350000.0,16,56500000.0,2010/2011,21518
306,Málaga CF,LaLiga,25040000.0,23,0.0,24,-25040000.0,2010/2011,21518
307,Sevilla FC,LaLiga,17100000.0,16,29600000.0,16,12500000.0,2010/2011,21518
308,RCD Espanyol Barcelona,LaLiga,11250000.0,16,24500000.0,21,13250000.0,2010/2011,21518
309,Hércules CF,LaLiga,6210000.0,11,400000.0,12,-5810000.0,2010/2011,21518
310,Real Zaragoza,LaLiga,4350000.0,16,2000000.0,19,-2350000.0,2010/2011,21518
311,Villarreal CF,LaLiga,4250000.0,18,15820000.0,14,11570000.0,2010/2011,21518
312,Real Sociedad,LaLiga,4200000.0,9,0.0,10,-4200000.0,2010/2011,21518
313,Getafe CF,LaLiga,3900000.0,10,22100000.0,10,18200000.0,2010/2011,21518
314,UD Almería,LaLiga,3200000.0,12,5000000.0,14,1800000.0,2010/2011,21518
315,CA Osasuna,LaLiga,2790000.0,11,10250000.0,11,7460000.0,2010/2011,21518
316,Athletic Bilbao,LaLiga,2720000.0,10,0.0,11,-2720000.0,2010/2011,21518
317,Racing Santander,LaLiga,1470000.0,15,10000000.0,16,8540000.0,2010/2011,21518
318,Deportivo de La Coruña,LaLiga,1050000.0,18,16399999.999999998,12,15350000.0,2010/2011,21518
319,Sporting Gijón,LaLiga,800000.0,8,0.0,10,-800000.0,2010/2011,21518
320,RCD Mallorca,LaLiga,0.0,18,6400000.0,19,6400000.0,2010/2011,21518
321,Levante UD,LaLiga,0.0,14,0.0,14,0.0,2010/2011,21518
322,Atlético de Madrid,LaLiga,85200000.0,21,85350000.0,20,150000.0,2011/2012,21518
